品牌名,職缺名稱,廠商duty0,廠商duty1,廠商duty2,廠商duty3,廠商duty4,AI推薦1,AI推薦2,AI推薦3,AI推薦4,AI推薦5
1+1鍋物,薪$230/H起【1+1鍋物】 忠孝店假日兼職人員A,餐飲服務人員,餐廚助手,,,,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,冷熱飲調製人員
1+1鍋物,薪$230/H起【1+1鍋物】 忠孝店假日工讀人員A,餐飲服務人員,餐廚助手,,,,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,侍酒師
1+1鍋物,薪43500起 月休8天【1+1鍋物】 忠孝店正職人員A,餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,冷熱飲調製人員,侍酒師
2026中租亞太MA,【2026中租亞太MA】派外法催主管儲備計畫,法務人員,,,,,儲備幹部,資材主管,電機工程主管,客服主管,生管主管
2026年中租,【學生實習】2026年中租控股_合迪儲備業務實習,工讀生,融資／信用業務人員,國內業務人員,,,國貿人員,國貿助理,國外業務人員,業務助理,文字客服
5年以上,【人資｜招募｜5年以上】 1名,人事／人力資源專員,人事助理,,,,調酒師／吧台人員,冷熱飲調製人員,人事／人力資源主管,品管／品保主管,門市／店員／專櫃人員
A002台北重慶店,［A002台北重慶店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,門市／店員／專櫃人員,冷熱飲調製人員,房務人員
A003台北承德店,［A003台北承德店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
A004台北內湖店,［A004台北內湖店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
A005台北永吉店,［A005台北永吉店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A007台北大安店,［A007台北大安店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,遊樂景點工作人員
