類別,公司相關文字,出現次數
1_外資國別,日商,700
1_外資國別,美商,204
1_外資國別,德商,48
1_外資國別,韓商,15
1_外資國別,港商,9
1_外資國別,英商,8
1_外資國別,義商,6
1_外資國別,法商,5
1_外資國別,中商,5
1_外資國別,星商,4
1_外資國別,新商,4
1_外資國別,西商,3
1_外資國別,台商,1
1_外資國別,澳商,1
2_上市櫃,上市,140
2_上市櫃,上市櫃,75
2_上市櫃,上市公司,52
2_上市櫃,上櫃,11
2_上市櫃,股票上市,3
2_上市櫃,興櫃,1
3_法人型態,集團,1748
3_法人型態,有限公司,79
3_法人型態,事務所,76
3_法人型態,股份有限公司,67
3_法人型態,商行,61
3_法人型態,工作室,36
3_法人型態,企業社,11
3_法人型態,控股,9
4_組織關係,直營,1040
4_組織關係,總公司,1021
4_組織關係,加盟店,881
4_組織關係,連鎖,750
4_組織關係,分公司,639
4_組織關係,總部,319
4_組織關係,加盟,108
4_組織關係,關係企業,81
4_組織關係,旗下,59
4_組織關係,子公司,56
5_規模形容,知名,2052
5_規模形容,大廠,1277
5_規模形容,外商,450
5_規模形容,龍頭,113
5_規模形容,跨國,42
5_規模形容,新創,40
5_規模形容,原廠,25
5_規模形容,績優,12
5_規模形容,老字號,5
5_規模形容,國際級,2
5_規模形容,百年企業,1
5_規模形容,五百大,1
6_公司品牌名稱,大樹藥局,490
6_公司品牌名稱,寶雅,222
6_公司品牌名稱,すき家 SUKIYA,217
6_公司品牌名稱,爭鮮迴轉壽司,142
6_公司品牌名稱,蝦皮店到店,131
6_公司品牌名稱,春水堂,122
6_公司品牌名稱,樂活,118
6_公司品牌名稱,新店耕莘,96
6_公司品牌名稱,MO-MO-PARADISE,76
6_公司品牌名稱,涮乃葉,75
6_公司品牌名稱,樂多多,74
6_公司品牌名稱,瓦城,66
6_公司品牌名稱,百萬藥師,56
6_公司品牌名稱,井賀鍋物,51
6_公司品牌名稱,松屋,49
6_公司品牌名稱,涓豆腐,49
6_公司品牌名稱,北村豆腐家,48
6_公司品牌名稱,古拉爵,45
6_公司品牌名稱,振宇五金,41
6_公司品牌名稱,爭鮮gogo,39
6_公司品牌名稱,統一,38
6_公司品牌名稱,優利國際,36
6_公司品牌名稱,國泰,35
6_公司品牌名稱,恆安照護,34
6_公司品牌名稱,雲品溫泉酒店日月潭,32
6_公司品牌名稱,e大學眼鏡,32
6_公司品牌名稱,古拉爵 Grazie,31
6_公司品牌名稱,雲鼎阿二麻辣食堂,31
6_公司品牌名稱,BELLINI PASTA PASTA,30
