類別,雜訊字詞,出現次數
1_地區,台中,2852
1_地區,台北,2797
1_地區,桃園,2568
1_地區,高雄,2495
1_地區,台南,1887
1_地區,新竹,1568
1_地區,新北市,687
1_地區,台北市,686
1_地區,新北,657
1_地區,嘉義,640
1_地區,彰化,515
1_地區,台中市,496
1_地區,桃園市,427
1_地區,屏東,412
1_地區,台南市,346
1_地區,宜蘭,331
1_地區,高雄市,328
1_地區,苗栗,322
1_地區,基隆,301
1_地區,花蓮,206
1_地區,南投,199
1_地區,雲林,191
1_地區,北市,178
1_地區,臺北市,174
1_地區,新竹市,171
1_地區,台東,134
1_地區,新竹縣,118
1_地區,彰化縣,103
1_地區,嘉義縣,94
1_地區,臺北,71
1_地區,基隆市,62
1_地區,臺中,58
1_地區,雲林縣,56
1_地區,苗栗縣,55
1_地區,屏東縣,49
1_地區,臺中市,45
1_地區,嘉義市,44
1_地區,彰化市,41
1_地區,澎湖,37
1_地區,宜蘭縣,36
1_地區,屏東市,33
1_地區,南投縣,32
1_地區,苗栗市,31
1_地區,金門,29
1_地區,臺東,28
1_地區,花蓮縣,26
1_地區,宜蘭市,25
1_地區,臺南市,23
1_地區,花蓮市,20
1_地區,台東市,19
1_地區,臺南,18
1_地區,南投市,14
1_地區,台東縣,12
1_地區,桃園縣,10
1_地區,金門縣,9
1_地區,澎湖縣,9
1_地區,金門市,6
1_地區,竹市,5
1_地區,南市,4
1_地區,馬祖,3
1_地區,中市,3
1_地區,臺東縣,2
1_地區,基隆縣,2
1_地區,台南縣,2
1_地區,台中縣,2
1_地區,竹縣,2
1_地區,連江縣,2
1_地區,澎湖市,1
2_分區,店,15041
2_分區,廠,4719
2_分區,處,1243
2_分區,館,1182
2_分區,北區,1083
2_分區,中壢,807
2_分區,南區,806
2_分區,板橋,652
2_分區,林口,608
2_分區,中區,603
2_分區,新莊,593
2_分區,東區,531
2_分區,新店,511
2_分區,竹北,499
2_分區,中山,443
2_分區,內湖,440
2_分區,中和,391
2_分區,土城,390
2_分區,三重,355
2_分區,板橋區,353
2_分區,桃園區,350
2_分區,中正,341
2_分區,信義,310
2_分區,信義區,304
2_分區,樹林,291
2_分區,新莊區,291
2_分區,南港,285
2_分區,中山區,278
2_分區,內湖區,278
2_分區,楠梓,272
2_分區,龜山,271
2_分區,平鎮,265
2_分區,鳳山,253
2_分區,士林,252
2_分區,楊梅,249
2_分區,大園,226
2_分區,永和,221
2_分區,汐止,219
2_分區,中壢區,216
2_分區,八德,215
2_分區,淡水,215
2_分區,龍潭,215
2_分區,中和區,213
2_分區,大安區,211
2_分區,岡山,206
2_分區,復興,206
2_分區,觀音,204
2_分區,西屯區,199
2_分區,蘆洲,195
2_分區,大里,193
2_分區,大樹,193
2_分區,新店區,188
2_分區,三重區,188
2_分區,蘆竹,185
2_分區,永康,183
2_分區,五股,180
2_分區,湖口,178
2_分區,三峽,175
2_分區,員林,169
2_分區,左營,167
2_分區,南屯區,167
