# 情境：best_practice｜說明：第一筆(職類推薦1)就命中，且廠商送出的所有職類100%都出現在前5名內（完美命中且全部可見）
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,職類推薦1,職類推薦2,職類推薦3,職類推薦4,職類推薦5,職類推薦6,職類推薦7,職類推薦8,職類推薦9,職類推薦10,命中名次,前5名覆蓋數,廠商送出數
best_practice,📢會計記帳人員,會計／出納／記帳人員,查帳／審計人員,財務分析／財務人員,稅務人員,會計師,會計／出納／記帳人員,稅務人員,財務分析／財務人員,查帳／審計人員,會計師,財務／會計主管,財務／會計助理,主辦會計,總務人員,行政人員,1,5,5
best_practice,記帳員,會計／出納／記帳人員,財務分析／財務人員,查帳／審計人員,稅務人員,財務／會計助理,會計／出納／記帳人員,查帳／審計人員,稅務人員,財務分析／財務人員,財務／會計助理,金融營業人員,行政人員,財務／會計主管,電腦操作／資料輸入,總務人員,1,5,5
best_practice,記帳人員,會計／出納／記帳人員,財務分析／財務人員,查帳／審計人員,稅務人員,財務／會計助理,會計／出納／記帳人員,稅務人員,財務分析／財務人員,查帳／審計人員,財務／會計助理,財務／會計主管,會計師,金融營業人員,總務人員,行政人員,1,5,5
best_practice,資深會計記帳人員（需有會計二年以上經驗者）,查帳／審計人員,會計／出納／記帳人員,稅務人員,會計師,財務分析／財務人員,會計／出納／記帳人員,財務分析／財務人員,稅務人員,查帳／審計人員,會計師,財務／會計助理,財務／會計主管,主辦會計,總務人員,秘書,1,5,5
best_practice,"台南崇學★內場 實習領班★月薪42,000～44,000★高額績效獎金★薄多義 義式餐廳★",西式廚師,其他料理廚師,,,,其他料理廚師,餐廚助手,餐飲服務人員,西式廚師,餐飲領班,調酒師／吧台人員,中式廚師,烹飪老師,洗碗人員,日式廚師,1,2,2
best_practice,西餐廚師(含部分輕食),西式廚師,其他料理廚師,,,,西式廚師,調酒師／吧台人員,品管／品保主管,冷熱飲調製人員,其他料理廚師,餐廚助手,餐飲服務人員,洗碗人員,餐飲主管,侍酒師,1,2,2
best_practice,松哖酒店-櫃檯經理,飯店／旅館櫃檯人員,飯店／旅館主管,,,,飯店／旅館主管,飯店／旅館櫃檯人員,銀行辦事人員,飯店／旅館服務人員,金融營業人員,社群經營人員,冷熱飲調製人員,資材主管,經營管理主管,廣告／行銷企劃主管,1,2,2
best_practice,【新美齊】PARK259 酒店式公寓 櫃檯組長,飯店／旅館櫃檯人員,飯店／旅館主管,,,,飯店／旅館櫃檯人員,飯店／旅館主管,行政主管,調酒師／吧台人員,客服主管,飯店／旅館服務人員,儲備幹部,資料庫管理人員,禮賓接待人員,空服人員,1,2,2
best_practice,餐飲內外場人員,餐飲服務人員,餐廚助手,,,,餐廚助手,餐飲服務人員,西式廚師,調酒師／吧台人員,洗碗人員,冷熱飲調製人員,其他料理廚師,門市／店員／專櫃人員,侍酒師,中式廚師,1,2,2
best_practice,內外場人員(長庚店),餐飲服務人員,餐廚助手,,,,餐廚助手,餐飲服務人員,西式廚師,洗碗人員,其他料理廚師,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,中式廚師,侍酒師,1,2,2
best_practice,門市銷售人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,侍酒師,調酒師／吧台人員,冷熱飲調製人員,售票／收銀人員,店長／門市管理人員,飯店／旅館服務人員,儲備幹部,行銷企劃人員,產品經理,1,2,2
best_practice,女裝門市人員(有經驗者尤佳),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,售票／收銀人員,智慧製程工程師,資材人員,房務人員,資材主管,遊樂景點工作人員,品管人員,1,2,2
best_practice,統一超商_正職早晚班(新聖明門市),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,調酒師／吧台人員,冷熱飲調製人員,店長／門市管理人員,遊樂景點工作人員,資材主管,樓面管理人員,侍酒師,餐飲主管,1,2,2
best_practice,服務銷售員(大隆黃昏市場),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,行銷企劃人員,休閒娛樂事業從業人員,產品經理,店長／門市管理人員,遊樂景點工作人員,儲備幹部,飯店／旅館服務人員,調酒師／吧台人員,1,2,2
best_practice,統一超商(管興加盟店)晚班夜班正職人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,調酒師／吧台人員,資材主管,樓面管理人員,冷熱飲調製人員,產品經理,遊樂景點工作人員,儲備幹部,1,2,2
best_practice,7-11門市 薪優誠徵經驗晚班（歡迎畢業生、二度就業加入）,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,遊樂景點工作人員,休閒娛樂事業從業人員,金融營業人員,調酒師／吧台人員,神秘客,冷熱飲調製人員,資材人員,1,2,2
best_practice,新竹區-中班儲備(竹北市),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,冷熱飲調製人員,調酒師／吧台人員,售票／收銀人員,休閒娛樂事業從業人員,餐飲主管,生鮮處理人員,遊樂景點工作人員,飯店／旅館服務人員,藥師助理,1,2,2
best_practice,新竹區-大夜儲備(竹北市),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,資材主管,遊樂景點工作人員,智慧製程工程師,店長／門市管理人員,1,2,2
best_practice,超商早班工讀生,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,遊樂景點工作人員,休閒娛樂事業從業人員,生鮮處理人員,冷熱飲調製人員,倉管／物料管理員,資材人員,飯店／旅館服務人員,倉儲物流人員,1,2,2
best_practice,全家鳳山天興店-正職,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,餐飲主管,樓面管理人員,侍酒師,資材主管,1,2,2
best_practice,全家花蓮博愛店-晚班人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,冷熱飲調製人員,調酒師／吧台人員,售票／收銀人員,休閒娛樂事業從業人員,店長／門市管理人員,樓面管理人員,遊樂景點工作人員,侍酒師,1,2,2
best_practice,全家便利商店 潮州公園店 晚班工讀人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店店舖服務員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店大里新大益店假日班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,店長／門市管理人員,樓面管理人員,售票／收銀人員,飯店／旅館服務人員,餐飲主管,休閒娛樂事業從業人員,調酒師／吧台人員,侍酒師,遊樂景點工作人員,1,2,2
best_practice,全家便利商店-中班 門市職員(全家高雄公正店),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,餐飲主管,店長／門市管理人員,飯店／旅館服務人員,休閒娛樂事業從業人員,樓面管理人員,調酒師／吧台人員,冷熱飲調製人員,遊樂景點工作人員,1,2,2
best_practice,全家便利商店––桂林店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––摩天店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––萬昌店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––萬明店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––萬明店★★工讀早班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,遊樂景點工作人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––萬明店★★工讀晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★工讀晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★工讀早班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,遊樂景點工作人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––亞慶店★★大夜班工讀,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,樓面管理人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店––亞慶店★★工讀早班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––亞慶店★★工讀晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––桂林店★★工讀早班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,店長／門市管理人員,售票／收銀人員,休閒娛樂事業從業人員,樓面管理人員,調酒師／吧台人員,遊樂景點工作人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★正職晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,樓面管理人員,飯店／旅館服務人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,侍酒師,休閒娛樂事業從業人員,1,2,2
best_practice,全家便利商店––萬昌店★★正職大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,樓面管理人員,飯店／旅館服務人員,餐飲主管,調酒師／吧台人員,休閒娛樂事業從業人員,遊樂景點工作人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––萬昌店★★工讀晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,遊樂景點工作人員,餐飲主管,調酒師／吧台人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––摩天店★★正職大夜,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,樓面管理人員,飯店／旅館服務人員,調酒師／吧台人員,餐飲主管,休閒娛樂事業從業人員,冷熱飲調製人員,遊樂景點工作人員,1,2,2
