# 情境：worst_practice｜說明：AI推薦1~10完全沒命中廠商送出的任一職類（不管同中類、同大類，都算沒命中）
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,職類推薦1,職類推薦2,職類推薦3,職類推薦4,職類推薦5,職類推薦6,職類推薦7,職類推薦8,職類推薦9,職類推薦10,命中名次,前5名覆蓋數,廠商送出數
worst_practice,總經理室專員,行政助理,業務助理,主管駕駛,特別助理,特別助理,行政主管,經營管理主管,總務人員,產品企劃主管,行政人員,國內業務主管,資材主管,廣告／行銷企劃主管,金融營業人員,保險業務員／經紀人,,0,4
worst_practice,1.經營企劃專員,產品管理師,專案經理,ERP專案管理師,產品企劃人員,特別助理,保險業務員／經紀人,產品企劃主管,國內業務主管,傳播媒體編輯企劃,活動企劃人員,行銷企劃人員,廣告／行銷企劃主管,國貿人員,公關企劃人員,產品經理,,0,5
worst_practice,工務副理(具主任或品管證照）,建築師,營建主管,工地主管／主任,土木技師,特別助理,業務工程師,軟體專案主管,客戶成功經理,建築繪圖／設計,CAD／CAM工程師,客服工程師,系統工程師,長照機構業務負責人,UI/UX設計師,軟體工程師,,0,5
worst_practice,"W【日班安全室組長】中壢工業區：工廠，薪62,000元/月上班24天(288H)，有供餐及特休",保全人員／警衛,管理員,隨扈／安全人員,儲備幹部,基層管理幹部,智慧製程工程師,電機技師／工程師,電機設備裝配員,水電工,PLC／自動控制工程師,品管人員,技術人員,塑膠模具技術人員,機械加工技術人員,木工,,0,5
worst_practice,"W【勤務督導】桃園區中正路，薪58,000~68,000元(含全勤及津貼)/週休二日、見紅休",總幹事,管理員,行政主管,儲備幹部,基層管理幹部,資材主管,智慧製程工程師,資材人員,木工,宗教／神職人員,營建雜工／粗工,CNC車床人員,禮儀師,外務／快遞／送貨,品管／品保主管,,0,5
worst_practice,產線儲備幹部(冷氣廠房.供餐),機械操作人員,CNC車床人員,技術人員,儲備幹部,基層管理幹部,智慧製程工程師,生管主管,電機技師／工程師,電機設備裝配員,塑膠押出技術人員,電機工程主管,沖壓模具技術人員,塑膠模具技術人員,模具技術人員,水電工,,0,5
worst_practice,👉 【早班產線組長｜月薪4萬↑｜週休二日】,領班／管理幹部,機械操作人員,生產線工程師,生管主管,基層管理幹部,包裝員／作業員,技術人員,CNC車床人員,塑膠押出技術人員,電機技師／工程師,電機設備裝配員,智慧製程工程師,模具技術人員,塑膠模具技術人員,沖床人員,,0,5
worst_practice,門市督導人員(週休二日),店長／門市管理人員,儲備幹部,餐飲領班,餐飲主管,基層管理幹部,冷熱飲調製人員,調酒師／吧台人員,居家服務督導員,門市／店員／專櫃人員,咖啡師,補習班主任／主管,工讀生,侍酒師,藥師助理,洗碗人員,,0,5
worst_practice,門市督導助理(週休二日),店長／門市管理人員,儲備幹部,餐飲領班,餐飲主管,基層管理幹部,藥師助理,資訊助理人員,攝影助理,電腦操作／資料輸入,助教,人事助理,執行製作／助理,行銷企劃助理,遊樂景點工作人員,生管／助理,,0,5
worst_practice,社區經理-北區(鄰近科博館),總幹事,專案管理主管,基層管理幹部,行政主管,總務主管,社群經營人員,金融營業人員,資材主管,飯店／旅館主管,專案業務主管,產品經理,產品企劃主管,保險業務員／經紀人,廣告／行銷企劃主管,媒體公關主管,,0,5
