# worst case 拯救方案：已驗證安全的手術式修正（儲備幹部/駐校代表/電話行銷人員 三桶，共615筆，零誤傷本次已救回案例）
問題桶,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
儲備幹部類(連鎖超商+班別),全家便利商店大里新大益店假日班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,日式廚師,餐飲服務人員,洗碗人員,中式廚師,餐飲主管,店長／門市管理人員,餐廚助手,其他料理廚師,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,餐廚助手,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––鴻啟店★★正職晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,洗碗人員,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––萬昌店★★正職大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,洗碗人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––摩天店★★正職大夜,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,餐飲主管,飯店／旅館工作人員,中／港式點心廚師,餐飲領班,日式廚師,洗碗人員,店長／門市管理人員,侍酒師,門市／店員／專櫃人員,餐飲主管,飯店／旅館工作人員,餐飲領班,店長／門市管理人員,侍酒師,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––亞慶店★★正職大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,餐飲服務人員,其他料理廚師,洗碗人員,餐飲主管,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––凱撒店★★正職晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,中／港式點心廚師,餐飲主管,中式廚師,其他料理廚師,洗碗人員,鐵板燒廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,鐵板燒廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––鴻啟店★★正職大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,洗碗人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店––鴻啟店★★正職早班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,其他料理廚師,洗碗人員,餐飲主管,餐廚助手,鐵板燒廚師,門市／店員／專櫃人員,其他料理廚師,餐飲主管,餐廚助手,鐵板燒廚師,,,,,
駐校代表(理貨/駐點誤判),大社正職日班理貨人員/ 冷氣房週休六日/離楠梓很近😉,倉管／物料管理員,倉儲物流人員,技術人員,包裝員／作業員,資材人員,駐校代表,內勤業務,補習班招生人員,門市／店員／專櫃人員,樓面管理人員,汽車銷售人員,總機／接待／櫃檯人員,國內業務人員,加油服務,售票／收銀人員,倉管／物料管理員,內勤業務,補習班招生人員,門市／店員／專櫃人員,樓面管理人員,汽車銷售人員,總機／接待／櫃檯人員,國內業務人員,加油服務,售票／收銀人員
儲備幹部類(連鎖超商+班別),全家惠慶店晚班,售票／收銀人員,店長／門市管理人員,門市／店員／專櫃人員,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,餐飲主管,中式廚師,其他料理廚師,洗碗人員,餐廚助手,鐵板燒廚師,售票／收銀人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
儲備幹部類(連鎖超商+班別),全家向大店晚班人員,售票／收銀人員,店長／門市管理人員,門市／店員／專櫃人員,,,餐飲服務人員,洗碗人員,儲備幹部,日式廚師,中／港式點心廚師,飯店／旅館工作人員,餐飲主管,中式廚師,餐廚助手,工讀生,售票／收銀人員,飯店／旅館工作人員,餐飲主管,餐廚助手,工讀生,,,,,
駐校代表(理貨/駐點誤判),😸桃園新南路  大夜班 物流理貨人員,倉儲物流人員,工讀生,技術人員,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,隨車人員,售票／收銀人員,電訪人員,國內業務人員,倉儲物流人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,隨車人員,售票／收銀人員,電訪人員,國內業務人員
儲備幹部類(連鎖超商+班別),全家便利商店(新市大社店)正職早班〝短期勿試〝歡迎二度就業面試,售票／收銀人員,門市／店員／專櫃人員,門市／店員／專櫃人員,,,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,加油服務,洗碗人員,中式廚師,生鮮處理人員,餐飲主管,餐廚助手,售票／收銀人員,加油服務,生鮮處理人員,餐飲主管,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),7-11 金西屯  晚班PT,門市／店員／專櫃人員,工讀生,,,,中／港式點心廚師,餐飲服務人員,日式廚師,洗碗人員,儲備幹部,中式麵點人員／師傅,中式廚師,鐵板燒廚師,其他料理廚師,餐廚助手,門市／店員／專櫃人員,中式麵點人員／師傅,鐵板燒廚師,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),7-11 晚班職員,門市／店員／專櫃人員,店長／門市管理人員,,,,日式廚師,中／港式點心廚師,工讀生,餐廚助手,中式廚師,餐飲服務人員,其他料理廚師,公家機關相關人員,洗碗人員,餐飲領班,門市／店員／專櫃人員,工讀生,餐廚助手,其他料理廚師,餐飲領班,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店竹北縣政店(加盟店)早 晚 大夜班,門市／店員／專櫃人員,工讀生,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,樓面管理人員,飯店／旅館主管,土地開發人員,補習班招生人員,不動產／商場開發人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,樓面管理人員,飯店／旅館主管,土地開發人員,補習班招生人員,不動產／商場開發人員
儲備幹部類(連鎖超商+班別),(全家便利商店台中漢口店)大夜班正職人員(意者請直接電洽04-22922475),門市／店員／專櫃人員,工讀生,,,,餐飲服務人員,日式廚師,中／港式點心廚師,儲備幹部,中式廚師,洗碗人員,生鮮處理人員,其他料理廚師,餐廚助手,餐飲領班,門市／店員／專櫃人員,生鮮處理人員,其他料理廚師,餐廚助手,餐飲領班,,,,,
駐校代表(理貨/駐點誤判),富邦MOMO楊梅區理貨人員,倉儲物流人員,包裝員／作業員,,,,駐校代表,汽車銷售人員,國內業務人員,補習班招生人員,樓面管理人員,內勤業務,總機／接待／櫃檯人員,門市／店員／專櫃人員,通路開發人員,電話行銷人員,倉儲物流人員,汽車銷售人員,國內業務人員,補習班招生人員,樓面管理人員,內勤業務,總機／接待／櫃檯人員,門市／店員／專櫃人員,通路開發人員,電話行銷人員
駐校代表(理貨/駐點誤判),IKEA全台聯招_觀音物流中心_理貨人員,倉儲物流人員,倉管／物料管理員,,,,駐校代表,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,電訪人員,汽車銷售人員,門市／店員／專櫃人員,醫院行政管理人員,樓面管理人員,倉儲物流人員,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,電訪人員,汽車銷售人員,門市／店員／專櫃人員,醫院行政管理人員,樓面管理人員
駐校代表(理貨/駐點誤判),屏東萬丹大夜理貨(大發所),倉儲物流人員,倉管／物料管理員,,,,駐校代表,內勤業務,汽車銷售人員,國內業務人員,補習班招生人員,隨車人員,運輸調度管理人員,樓面管理人員,總機／接待／櫃檯人員,電訪人員,倉儲物流人員,內勤業務,汽車銷售人員,國內業務人員,補習班招生人員,隨車人員,運輸調度管理人員,樓面管理人員,總機／接待／櫃檯人員,電訪人員
駐校代表(理貨/駐點誤判),【觀音/新屋/大園請進-正職穩定福利優 】 理貨人員  / 免費供餐+免費停車+獎金+年終  / 周休二日 -602J,倉儲物流人員,倉管／物料管理員,,,,駐校代表,售票／收銀人員,汽車銷售人員,內勤業務,補習班招生人員,隨車人員,電話行銷人員,樓面管理人員,國內業務人員,保全人員／警衛,倉儲物流人員,售票／收銀人員,汽車銷售人員,內勤業務,補習班招生人員,隨車人員,電話行銷人員,樓面管理人員,國內業務人員,保全人員／警衛
駐校代表(理貨/駐點誤判),【兼職】宜得利NITORI 理貨人員(16:00~20:00),倉儲物流人員,倉管／物料管理員,,,,駐校代表,門市／店員／專櫃人員,汽車銷售人員,補習班招生人員,內勤業務,國內業務人員,樓面管理人員,電訪人員,總機／接待／櫃檯人員,電話行銷人員,倉儲物流人員,門市／店員／專櫃人員,汽車銷售人員,補習班招生人員,內勤業務,國內業務人員,樓面管理人員,電訪人員,總機／接待／櫃檯人員,電話行銷人員
駐校代表(理貨/駐點誤判),SS高薪204到222流動線理貨員 龜山 林口 桃園 龜山區頂湖路,倉儲物流人員,倉管／物料管理員,,,,駐校代表,內勤業務,汽車銷售人員,國內業務人員,補習班招生人員,電話行銷人員,客服工程師,客服人員,電訪人員,軟體助理工程師,倉儲物流人員,內勤業務,汽車銷售人員,國內業務人員,補習班招生人員,電話行銷人員,客服工程師,客服人員,電訪人員,軟體助理工程師
駐校代表(理貨/駐點誤判),台南新市大夜理貨(南二)-1,倉管／物料管理員,倉儲物流人員,,,,駐校代表,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員,倉管／物料管理員,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),台南新市大夜理貨(南二),倉管／物料管理員,倉儲物流人員,,,,駐校代表,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員,倉管／物料管理員,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),台南新化大夜理貨(南二),倉管／物料管理員,倉儲物流人員,,,,駐校代表,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員,倉管／物料管理員,補習班招生人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),高雄鼓山大夜理貨(高雄所),倉管／物料管理員,倉儲物流人員,,,,駐校代表,汽車銷售人員,內勤業務,補習班招生人員,國內業務人員,總機／接待／櫃檯人員,隨車人員,電訪人員,門市／店員／專櫃人員,樓面管理人員,倉管／物料管理員,汽車銷售人員,內勤業務,補習班招生人員,國內業務人員,總機／接待／櫃檯人員,隨車人員,電訪人員,門市／店員／專櫃人員,樓面管理人員
駐校代表(理貨/駐點誤判),台北市_中山區百貨駐點銷售人員,門市／店員／專櫃人員,門市／店員／專櫃人員,,,,駐校代表,汽車銷售人員,國內業務人員,樓面管理人員,內勤業務,總機／接待／櫃檯人員,儲備幹部,店長／門市管理人員,補習班招生人員,通路開發人員,門市／店員／專櫃人員,汽車銷售人員,國內業務人員,樓面管理人員,內勤業務,總機／接待／櫃檯人員,儲備幹部,店長／門市管理人員,補習班招生人員,通路開發人員
儲備幹部類(連鎖超商+班別),全家上石店大夜,門市／店員／專櫃人員,,,,,儲備幹部,洗碗人員,日式廚師,中／港式點心廚師,中式廚師,衣物整燙人員,其他料理廚師,餐飲主管,餐飲服務人員,店長／門市管理人員,門市／店員／專櫃人員,衣物整燙人員,其他料理廚師,餐飲主管,店長／門市管理人員,,,,,
儲備幹部類(連鎖超商+班別),全家台南新義統店大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,洗碗人員,中／港式點心廚師,店長／門市管理人員,日式廚師,餐飲主管,餐飲服務人員,中式廚師,衣物整燙人員,其他料理廚師,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,衣物整燙人員,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家台南東德店大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,洗碗人員,餐飲服務人員,日式廚師,中／港式點心廚師,店長／門市管理人員,餐飲主管,中式廚師,衣物整燙人員,其他料理廚師,門市／店員／專櫃人員,店長／門市管理人員,餐飲主管,衣物整燙人員,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店大夜正職人員,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,中式廚師,餐飲領班,餐廚助手,儲備幹部,衣物整燙人員,加油服務,門市／店員／專櫃人員,餐飲領班,餐廚助手,衣物整燙人員,加油服務,,,,,
儲備幹部類(連鎖超商+班別),全家 鹿港金寶店-晚班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,中式廚師,其他料理廚師,洗碗人員,店長／門市管理人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家竹北金悅店(早班人員）,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,日式廚師,儲備幹部,洗碗人員,中／港式點心廚師,中式廚師,餐飲主管,其他料理廚師,飯店／旅館工作人員,餐廚助手,門市／店員／專櫃人員,餐飲主管,其他料理廚師,飯店／旅館工作人員,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-桃園高鐵加盟店（正職中晚班）,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,不動產／商場開發人員,樓面管理人員,不動產審核／估價師,餐飲服務人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,不動產／商場開發人員,樓面管理人員,不動產審核／估價師,
