# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
,◎市議員助理◎,行政助理,業務助理,政治相關研究人員,市場調查／分析人員,特別助理,電腦操作／資料輸入,行銷企劃助理,秘書,行政人員,財務／會計助理,資訊助理人員,採購助理,業務助理,人事助理,國貿助理,業務助理,電腦操作／資料輸入,行銷企劃助理,秘書,行政人員,財務／會計助理,資訊助理人員,採購助理,人事助理,國貿助理
,場務,保全人員／警衛,管理員,門市／店員／專櫃人員,儲備幹部,基層管理幹部,房務人員,遊樂景點工作人員,售票／收銀人員,資材人員,神秘客,表演／主持／直播人員,客服主管,門市／店員／專櫃人員,空服人員,生管／助理,門市／店員／專櫃人員,房務人員,遊樂景點工作人員,售票／收銀人員,資材人員,神秘客,表演／主持／直播人員,客服主管,空服人員,生管／助理
萬用填充項擠壓-同領域,挪威森林(新店館)儲備幹部/輪班主任9H月休八天**請親洽面試,飯店／旅館主管,旅遊休閒類主管,店長／門市管理人員,儲備幹部,基層管理幹部,品管／品保主管,調酒師／吧台人員,樓面管理人員,智慧製程工程師,資材主管,店長／門市管理人員,儲備幹部,電機工程主管,木工,補習班主任／主管,店長／門市管理人員,品管／品保主管,調酒師／吧台人員,樓面管理人員,智慧製程工程師,資材主管,儲備幹部,電機工程主管,木工,補習班主任／主管
,牙醫助理,牙醫助理,診所助理,醫院行政管理人員,行政助理,總機／接待／櫃檯人員,牙醫師,牙體技術人員,其他醫療從業人員,護理師,醫事檢驗師,牙醫助理,獸醫助理,診所助理,護理助理(護佐),助教,牙醫助理,牙醫師,牙體技術人員,其他醫療從業人員,護理師,醫事檢驗師,獸醫助理,診所助理,護理助理(護佐),助教
,(找合作)國際進口產品專業人員,報關人員,保稅人員,空運／船務,國貿助理,國貿人員,神秘客,客服工程師,國外業務人員,工業設計,資材人員,國貿人員,客服主管,產品企劃人員,國內業務人員,報關人員,國貿人員,神秘客,客服工程師,國外業務人員,工業設計,資材人員,客服主管,產品企劃人員,國內業務人員,報關人員
,📢合作專業經理人,專案經理,專案管理主管,專案業務主管,其他專案管理師,國內業務主管,保險業務員／經紀人,國外業務人員,國內業務人員,廣告AE,產品企劃主管,國內業務主管,產品經理,客服主管,專案業務主管,國外業務主管,國內業務主管,保險業務員／經紀人,國外業務人員,國內業務人員,廣告AE,產品企劃主管,產品經理,客服主管,專案業務主管,國外業務主管
,美編設計人員【連鎖加盟總部 擴大徵才】,美編人員,廣告設計,行政助理,倉管／物料管理員,行政人員,平面設計,設計主管,建築繪圖／設計,軟體專案主管,CAD／CAM工程師,資料庫管理人員,UI/UX設計師,美編人員,室內設計助理,工業設計,美編人員,平面設計,設計主管,建築繪圖／設計,軟體專案主管,CAD／CAM工程師,資料庫管理人員,UI/UX設計師,室內設計助理,工業設計
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）.*.*.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,儲備幹部,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**..––-,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,儲備幹部,售票／收銀人員,飯店／旅館主管,資材主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,資材主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,儲備幹部,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
