# ⚠️ 撤回清單（負向回饋用）：以下職缺曾在 4/5 號訓練回饋檔的歷史版本中，被錯誤標記為『理想推薦』的類別。
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,錯誤類別數,應撤回_錯誤類別_1,應撤回_錯誤類別_2,應撤回_錯誤類別_3,應撤回_錯誤類別_4,應撤回_錯誤類別_5,應撤回_錯誤類別_6,應撤回_錯誤類別_7,應撤回_錯誤類別_8,應撤回_錯誤類別_9,應撤回_錯誤類別_10,應撤回_錯誤類別_11,應撤回_錯誤類別_12,應撤回_錯誤類別_13,應撤回_錯誤類別_14,應撤回_錯誤類別_15,應撤回_錯誤類別_16,應撤回_錯誤類別_17,應撤回_錯誤類別_18,應撤回_錯誤類別_19,曾出現版本
enhancement_排序待優化,◎市議員助理◎,行政助理,業務助理,政治相關研究人員,市場調查／分析人員,特別助理,16,人事助理,代書／地政士,估算人員,公家機關相關人員,國貿助理,採購助理,法務助理,發包人員,秘書,行政人員,行銷企劃助理,財務／會計助理,資訊助理人員,都市／交通規劃人員,醫院行政管理人員,電腦操作／資料輸入,,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,場務,保全人員／警衛,管理員,門市／店員／專櫃人員,儲備幹部,基層管理幹部,17,公家機關相關人員,售票／收銀人員,客服主管,廠務助理,房務人員,林木伐運工作者,生管／助理,神秘客,空服人員,總幹事,花藝／園藝人員,表演／主持／直播人員,資材人員,農藝栽培專業人員,農藝／畜產研究人員,遊樂景點工作人員,領班／管理幹部,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,挪威森林(新店館)儲備幹部/輪班主任9H月休八天**請親洽面試,飯店／旅館主管,旅遊休閒類主管,店長／門市管理人員,儲備幹部,基層管理幹部,8,品管／品保主管,智慧製程工程師,木工,樓面管理人員,補習班主任／主管,調酒師／吧台人員,資材主管,電機工程主管,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,牙醫助理,牙醫助理,診所助理,醫院行政管理人員,行政助理,總機／接待／櫃檯人員,8,其他醫療從業人員,助教,牙醫師,牙體技術人員,獸醫助理,護理助理(護佐),護理師,醫事檢驗師,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,(找合作)國際進口產品專業人員,報關人員,保稅人員,空運／船務,國貿助理,國貿人員,8,國內業務人員,國外業務人員,客服主管,客服工程師,工業設計,產品企劃人員,神秘客,資材人員,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,📢合作專業經理人,專案經理,專案管理主管,專案業務主管,其他專案管理師,國內業務主管,8,保險業務員／經紀人,國內業務人員,國外業務主管,國外業務人員,客服主管,廣告AE,產品企劃主管,產品經理,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,美編設計人員【連鎖加盟總部 擴大徵才】,美編人員,廣告設計,行政助理,倉管／物料管理員,行政人員,9,CAD／CAM工程師,UI/UX設計師,室內設計助理,工業設計,平面設計,建築繪圖／設計,設計主管,資料庫管理人員,軟體專案主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）.*.*.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,音響／音控技術人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**..––-,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,資材主管,配音人員,音響／音控技術人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
