# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
◎市議員助理◎,秘書,行政人員,代書／地政士,發包人員,公家機關相關人員,行政助理,業務助理,政治相關研究人員,市場調查／分析人員,特別助理,推薦項目命中率改善
場務,農藝栽培專業人員,農藝／畜產研究人員,總幹事,花藝／園藝人員,公家機關相關人員,保全人員／警衛,管理員,門市／店員／專櫃人員,儲備幹部,基層管理幹部,推薦項目命中率改善
開發業務,土地開發人員,不動產／商場開發人員,不動產審核／估價師,代書／地政士,不動產經紀人／營業員,國內業務人員,國內業務主管,產品企劃人員,儲備幹部,基層管理幹部,推薦項目命中率改善
遠傳📞電信儲備幹部【薪42000起+業績獎金】,電話行銷人員,電話客服人員,電訪人員,補習班招生人員,客服人員,門市／店員／專櫃人員,店長／門市管理人員,儲備幹部,基層管理幹部,,推薦項目命中率改善
CNC製程管理主管,CNC銑床人員,CNC程式設計師,機械操作人員,傳統銑床人員,CNC車床人員,生管主管,製程主管,工廠高階主管,儲備幹部,基層管理幹部,推薦項目命中率改善
主任,園長,托育中心主任／主管,長照機構業務負責人,營建主管,護理長,飯店／旅館主管,旅遊休閒類主管,國內業務主管,經營管理主管,基層管理幹部,推薦項目命中率改善
📢業務助理,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,內勤業務,業務助理,行銷企劃助理,國貿助理,報關人員,國貿人員,推薦項目命中率改善
儲運行政人員,碼頭貨櫃管制人員,運輸調度管理人員,小客車／小貨車司機,主管駕駛,隨車人員,行政人員,行政助理,業務助理,國貿人員,國貿助理,推薦項目命中率改善
業務助理、設計助理、會計助理,秘書,成本會計人員,廣告文案企劃人員,商業設計,商化人員,業務助理,行政助理,內勤業務,國內業務人員,國貿助理,推薦項目命中率改善
徵信社 誠徵業務高手 (年薪百萬)擴大徵才中!!,不動產審核／估價師,不動產／商場開發人員,不動產經紀人／營業員,代書／地政士,土地開發人員,國內業務人員,產品企劃人員,通路開發人員,電話行銷人員,國內業務主管,推薦項目命中率改善
